currency_code,currency_name,currency_symbol,decimal_places,currency_type,active_flag,created_at,created_by
USD,US Dollar,$,2,FIAT,true,2020-11-30 22:16:54,joseph.johnson049@dataops.example.com
CAD,Canadian Dollar,C$,2,FIAT,true,2020-11-11 03:11:25,james.proctor094@dataops.example.com
GBP,Pound Sterling,£,2,FIAT,true,2020-11-25 07:38:46,michael.johnson061@platform.example.com
EUR,Euro,€,2,FIAT,true,2020-11-07 01:34:30,adam.gordon030@commerce.example.com
AUD,Australian Dollar,A$,2,FIAT,true,2020-11-03 06:58:15,maria.ashley046@analytics.example.com
JPY,Japanese Yen,¥,0,FIAT,true,2020-11-10 18:18:33,victor.palmer071@platform.example.com
SGD,Singapore Dollar,S$,2,FIAT,true,2020-11-21 20:27:51,michelle.bender024@analytics.example.com
INR,Indian Rupee,₹,2,FIAT,true,2020-11-03 06:50:15,eric.horton058@analytics.example.com
AED,UAE Dirham,د.إ,2,FIAT,true,2020-11-11 03:28:21,michael.berger060@platform.example.com
BRL,Brazilian Real,R$,2,FIAT,true,2020-11-06 11:03:01,ashley.marks069@commerce.example.com
MXN,Mexican Peso,MX$,2,FIAT,true,2020-11-30 02:53:46,timothy.cannon081@analytics.example.com
