customer_record_id,customer_id,first_name,last_name,gender,date_of_birth,age,age_group,email,country_name,country_code,region_name,sub_region_name,city,state_province,postal_code,currency_code,customer_segment,acquisition_channel,registration_date,customer_status,marketing_opt_in,effective_from,effective_to,is_current,source_system,created_at,updated_at,created_by
1582178,CUST-0001582178,Douglas,Smith,Non-binary,1958-08-17,66,65+,douglas.smith.1582178@gmail.com,Australia,AUS,Oceania,Australia and New Zealand,Lake Kimberlyburgh,Iowa,88474,AUD,Regular,Email,2025-03-25,Active,true,2025-03-25 00:00:00,,true,CRM,2025-03-25 14:04:52,2025-03-25 02:34:14,yesenia.arnold040@platform.example.com
1582179,CUST-0001582179,Daniel,Ruiz,Female,1952-05-18,72,65+,daniel.ruiz.1582179@gmail.com,Canada,CAN,North America,Northern America,New Andreview,North Carolina,49410,CAD,New,Social,2025-03-27,Active,false,2025-03-27 00:00:00,,true,Web,2025-03-27 03:09:12,2025-03-27 18:52:56,adam.gordon030@commerce.example.com
1582180,CUST-0001582180,Veronica,Williams,Non-binary,1973-07-21,51,45-54,veronica.williams.1582180@hotmail.com,Italy,ITA,Europe,Southern Europe,New Sheila,Oregon,10815,EUR,New,Paid Search,2025-03-30,Active,false,2025-03-30 00:00:00,,true,Mobile,2025-03-30 03:32:01,2025-03-30 06:36:03,megan.cunningham013@commerce.example.com
1582181,CUST-0001582181,Stephanie,Brown,Non-binary,1985-01-04,40,35-44,stephanie.brown.1582181@hotmail.com,United Arab Emirates,ARE,Asia,Western Asia,Stacyhaven,Mississippi,72267,AED,Premium,Affiliate,2025-03-16,Active,true,2025-03-16 00:00:00,,true,CRM,2025-03-16 19:07:32,2025-03-16 16:18:59,kenneth.rodgers059@analytics.example.com
1582182,CUST-0001582182,Edward,Glenn,Prefer not to say,1994-09-07,30,25-34,edward.glenn.1582182@hotmail.com,Canada,CAN,North America,Northern America,South Benjamin,Alaska,61393,CAD,Regular,Paid Search,2025-03-17,Active,true,2025-03-17 00:00:00,,true,Marketplace,2025-03-17 13:18:18,2025-03-17 07:00:48,lisa.kim091@platform.example.com
1582183,CUST-0001582183,Scott,Holder,Female,1996-01-13,29,25-34,scott.holder.1582183@yahoo.com,India,IND,Asia,Southern Asia,New Paula,Oregon,45178,INR,Regular,Paid Search,2025-03-29,Active,true,2025-03-29 00:00:00,,true,Web,2025-03-29 20:51:57,2025-03-29 01:15:55,renee.harvey080@dataops.example.com
1582184,CUST-0001582184,Joshua,Mcdowell,Female,1983-02-15,42,35-44,joshua.mcdowell.1582184@yahoo.com,Brazil,BRA,South America,South America,Port Michelle,Wisconsin,21567,BRL,Regular,Paid Search,2025-03-03,Active,false,2025-03-03 00:00:00,,true,CRM,2025-03-03 08:09:08,2025-03-03 20:31:41,joseph.johnson049@dataops.example.com
1582185,CUST-0001582185,Alicia,Fischer,Female,1994-04-14,30,25-34,alicia.fischer.1582185@yahoo.com,Australia,AUS,Oceania,Australia and New Zealand,Smithborough,Maryland,11048,AUD,Occasional,Affiliate,2025-03-21,Inactive,false,2025-03-21 00:00:00,,true,Mobile,2025-03-21 07:17:51,2025-03-21 23:48:09,anita.garcia021@dataops.example.com
1582186,CUST-0001582186,Cynthia,Summers,Prefer not to say,1951-02-09,74,65+,cynthia.summers.1582186@yahoo.com,Canada,CAN,North America,Northern America,Lisafort,Hawaii,56512,CAD,Regular,Organic,2025-03-10,Active,false,2025-03-10 00:00:00,,true,Web,2025-03-10 20:59:05,2025-03-10 23:44:56,brian.banks011@platform.example.com
1582187,CUST-0001582187,Angela,Martinez,Female,1975-01-25,50,45-54,angela.martinez.1582187@gmail.com,Mexico,MEX,North America,Central America,East Ronald,Montana,12907,MXN,At Risk,Direct,2025-03-25,Active,true,2025-03-25 00:00:00,,true,Mobile,2025-03-25 20:29:58,2025-03-25 14:53:24,rebecca.white032@dataops.example.com
