event_record_id,event_id,event_timestamp,session_id,customer_id,product_id,order_id,event_name,event_category,page_name,page_url,referrer_url,search_query,product_position,quantity,unit_price_local,event_value_local,local_currency,country_name,country_code,region_name,device_type,platform,operating_system,browser,traffic_source,traffic_medium,campaign_id,created_at,created_by
,EVT-202004-000000000000,2020-04-02 19:26:44,SES-202004-0000003957,CUST-0000054092,PROD-0000024792,,add_to_cart,commerce,Product,https://shop.example.com/home,https://instagram.com,,29,3,1488.77,4466.31,AED,United Arab Emirates,ARE,Asia,Laptop,Android,iOS,Samsung Internet,Direct,referral,,2020-04-02 19:26:44,micheal.hall064@dataops.example.com
,EVT-202004-000000000001,2020-04-29 15:55:36,SES-202004-0000021648,CUST-0000048688,,,page_view,engagement,Home,https://shop.example.com/search,https://bing.com,,,0,0,0,AED,United Arab Emirates,ARE,Asia,Mobile,iOS,ChromeOS,Safari,TikTok,social,,2020-04-29 15:55:36,susan.rice083@commerce.example.com
,EVT-202004-000000000002,2020-04-09 03:36:23,SES-202004-0000018206,CUST-0000061019,,,page_view,engagement,Product,https://shop.example.com/cart,https://google.com,,,0,0,0,USD,United States,USA,North America,Laptop,iOS,Windows,Samsung Internet,Instagram,email,,2020-04-09 03:36:23,stephen.clark001@analytics.example.com
,EVT-202004-000000000003,2020-04-04 21:13:48,SES-202004-0000014340,CUST-0000048666,,,page_view,engagement,Checkout,https://shop.example.com/checkout,https://facebook.com,,,0,0,0,USD,United States,USA,North America,Laptop,Android,Android,Safari,Instagram,affiliate,CAMP-2020-0035,2020-04-04 21:13:48,taylor.cunningham023@commerce.example.com
,EVT-202004-000000000004,2020-04-04 06:47:38,SES-202004-0000005487,CUST-0000055538,,,page_view,engagement,Home,https://shop.example.com/search,https://google.com,,,0,0,0,INR,India,IND,Asia,Desktop,Android,macOS,Firefox,Email,email,,2020-04-04 06:47:38,micheal.hall064@dataops.example.com
,EVT-202004-000000000005,2020-04-20 15:17:39,SES-202004-0000021290,CUST-0000048242,PROD-0000031876,,coupon_apply,commerce,Home,https://shop.example.com/product,https://bing.com,,43,2,885.67,1771.34,EUR,Netherlands,NLD,Europe,Desktop,iOS,macOS,Firefox,Direct,direct,CAMP-2020-0017,2020-04-20 15:17:39,brandi.carter038@dataops.example.com
,EVT-202004-000000000006,2020-04-05 07:22:44,SES-202004-0000010312,CUST-0000058713,PROD-0000033944,,review_view,engagement,Account,https://shop.example.com/home,https://instagram.com,,47,2,812.72,1625.44,USD,United States,USA,North America,Tablet,Android,Linux,Safari,Direct,email,,2020-04-05 07:22:44,tina.williams074@commerce.example.com
,EVT-202004-000000000007,2020-04-18 23:53:17,SES-202004-0000004402,CUST-0000048221,,,page_view,engagement,Account,https://shop.example.com/checkout,https://google.com,,,0,0,0,EUR,France,FRA,Europe,Tablet,iOS,Linux,Chrome,Instagram,organic,CAMP-2020-0026,2020-04-18 23:53:17,andrea.cummings039@platform.example.com
,EVT-202004-000000000008,2020-04-08 09:51:35,SES-202004-0000023155,CUST-0000055320,,,page_view,engagement,Account,https://shop.example.com/home,https://instagram.com,,,0,0,0,EUR,Spain,ESP,Europe,Desktop,Web,ChromeOS,Chrome,Bing,affiliate,,2020-04-08 09:51:35,stephen.clark001@analytics.example.com
,EVT-202004-000000000009,2020-04-15 03:34:52,SES-202004-0000005338,CUST-0000055655,PROD-0000033241,,product_view,commerce,Checkout,https://shop.example.com/search,https://facebook.com,,15,1,80.41,80.41,EUR,Netherlands,NLD,Europe,Laptop,Mobile Web,macOS,Safari,Instagram,direct,CAMP-2020-0021,2020-04-15 03:34:52,micheal.hall064@dataops.example.com
