order_item_record_id,order_item_id,order_id,product_id,seller_id,quantity,unit_price_local,discount_local,tax_local,item_total_local,local_currency,country_code,region_name,fulfillment_type,return_flag,return_quantity,refund_amount_local,created_at,created_by
,ITEM-202601-000000000000,ORD-202601-0000000955,PROD-0001093115,SELL-00439292,1,1166.07,34.71,55.3,1186.66,JPY,JPN,Asia,Platform Fulfilled,false,0,0,2026-01-05 17:28:27,elizabeth.mullins042@platform.example.com
,ITEM-202601-000000000001,ORD-202601-0000002298,PROD-0001081680,SELL-00441022,3,1187.94,330.08,84.3,3318.04,MXN,ESP,North America,Seller Fulfilled,false,0,1070.71,2026-01-12 16:09:20,mary.jordan048@analytics.example.com
,ITEM-202601-000000000002,ORD-202601-0000013584,PROD-0001081536,SELL-00441102,5,484.09,368.32,347.9,2400.03,USD,AUS,Asia,Platform Fulfilled,false,0,0,2026-01-18 05:40:08,raymond.davis085@analytics.example.com
,ITEM-202601-000000000003,ORD-202601-0000010039,PROD-0001097845,SELL-00438935,1,428.59,8.89,49.82,469.52,USD,AUS,Europe,Seller Fulfilled,false,0,0,2026-01-16 01:30:20,patrick.gonzalez035@dataops.example.com
,ITEM-202601-000000000004,ORD-202601-0000003490,PROD-0001089195,SELL-00439368,3,899.17,21.67,433.76,3109.6,BRL,ARE,Europe,Platform Fulfilled,false,0,0,2026-01-23 06:21:03,arthur.ortiz082@platform.example.com
,ITEM-202601-000000000005,ORD-202601-0000018089,PROD-0001095917,SELL-00440408,4,604.44,315.46,205.84,2308.14,GBP,GBR,Asia,Platform Fulfilled,false,0,0,2026-01-12 13:35:04,nancy.gross008@dataops.example.com
,ITEM-202601-000000000006,ORD-202601-0000007676,PROD-0001082600,SELL-00435314,3,669.43,59.88,320.64,2269.05,USD,AUS,Europe,Platform Fulfilled,true,1,62.29,2026-01-07 01:02:59,jennifer.bauer068@analytics.example.com
,ITEM-202601-000000000007,ORD-202601-0000007059,PROD-0001095476,SELL-00436300,3,935.04,131.4,496.53,3170.25,EUR,IND,North America,Dropship,false,0,0,2026-01-10 09:47:51,nancy.gross008@dataops.example.com
,ITEM-202601-000000000008,ORD-202601-0000019047,PROD-0001087208,SELL-00441041,2,1196.27,435.22,384.69,2342.01,BRL,CAN,Europe,Seller Fulfilled,false,0,0,2026-01-31 04:07:25,jack.smith053@analytics.example.com
,ITEM-202601-000000000009,ORD-202601-0000007815,PROD-0001090043,SELL-00439133,2,370.59,160.97,19.32,599.53,AED,FRA,South America,Dropship,false,0,0,2026-01-06 11:22:20,micheal.chen050@dataops.example.com
,ITEM-202601-000000000010,ORD-202601-0000013756,PROD-0001098264,SELL-00435331,6,420.44,379.9,372.34,2515.08,GBP,FRA,Europe,Platform Fulfilled,false,0,0,2026-01-26 16:17:31,elizabeth.mullins042@platform.example.com
,ITEM-202601-000000000011,ORD-202601-0000020286,PROD-0001084783,SELL-00441048,5,93.5,65.23,54.95,457.22,MXN,JPN,Asia,Platform Fulfilled,false,0,0,2026-01-08 11:59:22,jennifer.yu037@dataops.example.com
,ITEM-202601-000000000012,ORD-202601-0000003446,PROD-0001082731,SELL-00439883,6,885.09,1127.54,167.27,4350.27,JPY,IND,Oceania,Platform Fulfilled,false,0,0,2026-01-08 04:20:03,mary.jordan048@analytics.example.com
,ITEM-202601-000000000013,ORD-202601-0000016591,PROD-0001094388,SELL-00438027,4,147.0,50.27,85.5,623.23,GBP,ARE,Europe,Seller Fulfilled,false,0,0,2026-01-31 20:28:06,crystal.smith022@platform.example.com
,ITEM-202601-000000000014,ORD-202601-0000008918,PROD-0001094831,SELL-00440663,6,555.13,201.32,481.61,3611.07,USD,ESP,Europe,Platform Fulfilled,false,0,0,2026-01-15 20:21:20,james.proctor094@dataops.example.com
,ITEM-202601-000000000015,ORD-202601-0000007664,PROD-0001086912,SELL-00435104,1,731.32,141.97,44.96,634.31,BRL,FRA,Europe,Platform Fulfilled,false,0,0,2026-01-23 22:31:32,jennifer.yu037@dataops.example.com
,ITEM-202601-000000000016,ORD-202601-0000008975,PROD-0001096398,SELL-00441555,4,824.94,172.47,455.92,3583.21,MXN,SGP,Asia,Dropship,false,0,0,2026-01-20 07:38:20,michael.johnson061@platform.example.com
,ITEM-202601-000000000017,ORD-202601-0000003705,PROD-0001087718,SELL-00435294,5,631.68,431.65,254.68,2981.43,JPY,JPN,Europe,Platform Fulfilled,false,0,0,2026-01-11 19:38:29,jack.smith053@analytics.example.com
,ITEM-202601-000000000018,ORD-202601-0000006053,PROD-0001090297,SELL-00435721,2,94.51,6.28,27.99,210.73,SGD,USA,North America,Seller Fulfilled,false,0,0,2026-01-10 06:04:25,tina.williams074@commerce.example.com
,ITEM-202601-000000000019,ORD-202601-0000014113,PROD-0001082904,SELL-00440038,5,697.67,386.4,378.72,3480.67,EUR,DEU,Europe,Platform Fulfilled,false,0,0,2026-01-01 14:01:44,michael.johnson061@platform.example.com
,ITEM-202601-000000000020,ORD-202601-0000007403,PROD-0001096470,SELL-00439102,5,1171.96,487.41,469.08,5841.47,USD,BRA,Oceania,Dropship,false,0,0,2026-01-06 04:27:54,joseph.johnson049@dataops.example.com
,ITEM-202601-000000000021,ORD-202601-0000007315,PROD-0001089791,SELL-00436327,2,15.81,5.74,3.53,29.41,JPY,CAN,Europe,Seller Fulfilled,false,0,0,2026-01-26 02:25:59,stephen.daniels076@commerce.example.com
,ITEM-202601-000000000022,ORD-202601-0000003675,PROD-0001081936,SELL-00437651,5,482.64,283.01,453.11,2583.3,BRL,JPN,Asia,Dropship,false,0,1590.34,2026-01-26 07:56:03,jennifer.atkins003@platform.example.com
,ITEM-202601-000000000023,ORD-202601-0000008348,PROD-0001085260,SELL-00438318,6,588.9,738.13,636.18,3431.45,EUR,ESP,Europe,Seller Fulfilled,false,0,1823.65,2026-01-03 13:06:12,jennifer.shepherd015@analytics.example.com
,ITEM-202601-000000000024,ORD-202601-0000006961,PROD-0001085528,SELL-00435135,3,602.17,82.4,218.9,1943.01,MXN,NLD,Asia,Seller Fulfilled,false,0,0,2026-01-16 20:18:56,victoria.medina044@dataops.example.com
,ITEM-202601-000000000025,ORD-202601-0000015207,PROD-0001087990,SELL-00440185,3,419.61,273.03,36.18,1021.98,AED,IND,Europe,Platform Fulfilled,false,0,0,2026-01-26 23:54:00,jason.franklin045@dataops.example.com
,ITEM-202601-000000000026,ORD-202601-0000012528,PROD-0001082516,SELL-00437575,2,746.58,6.43,142.84,1629.57,MXN,FRA,South America,Dropship,false,0,0,2026-01-04 10:16:18,jennifer.hudson020@analytics.example.com
,ITEM-202601-000000000027,ORD-202601-0000001031,PROD-0001080864,SELL-00435223,1,964.86,162.61,103.52,905.77,SGD,NLD,Asia,Seller Fulfilled,true,0,0,2026-01-25 11:27:55,katelyn.pitts017@commerce.example.com
,ITEM-202601-000000000028,ORD-202601-0000003875,PROD-0001093311,SELL-00441561,5,1108.49,191.56,1282.99,6633.88,INR,AUS,Asia,Platform Fulfilled,false,0,0,2026-01-03 18:04:32,michelle.bender024@analytics.example.com
,ITEM-202601-000000000029,ORD-202601-0000018517,PROD-0001095182,SELL-00437101,2,140.69,47.89,31.14,264.63,EUR,DEU,Asia,Platform Fulfilled,false,0,0,2026-01-09 19:24:50,oscar.owens072@analytics.example.com
,ITEM-202601-000000000030,ORD-202601-0000002193,PROD-0001093826,SELL-00438859,6,6.18,4.19,1.14,34.03,GBP,NLD,North America,Dropship,false,5,0,2026-01-04 18:02:03,joseph.johnson049@dataops.example.com
,ITEM-202601-000000000031,ORD-202601-0000014537,PROD-0001090060,SELL-00437403,5,113.29,112.84,24.59,478.2,SGD,ESP,South America,Dropship,false,0,0,2026-01-13 22:05:57,brittany.barber031@commerce.example.com
,ITEM-202601-000000000032,ORD-202601-0000011517,PROD-0001081698,SELL-00439987,3,1070.64,687.04,434.89,2959.77,INR,MEX,Asia,Seller Fulfilled,false,0,3056.19,2026-01-25 21:09:24,jeffery.miller012@commerce.example.com
,ITEM-202601-000000000033,ORD-202601-0000014850,PROD-0001085333,SELL-00438661,2,737.11,18.07,289.95,1746.1,SGD,USA,Europe,Dropship,false,0,0,2026-01-30 21:23:55,judy.rogers086@platform.example.com
,ITEM-202601-000000000034,ORD-202601-0000018559,PROD-0001082129,SELL-00441322,4,458.83,152.99,316.14,1998.47,BRL,FRA,Europe,Seller Fulfilled,false,0,0,2026-01-21 11:06:21,linda.davis105@analytics.example.com
,ITEM-202601-000000000035,ORD-202601-0000010319,PROD-0001088665,SELL-00435715,2,143.2,47.23,34.62,273.79,AED,MEX,Europe,Seller Fulfilled,false,0,0,2026-01-13 10:23:32,elizabeth.olsen066@platform.example.com
,ITEM-202601-000000000036,ORD-202601-0000006663,PROD-0001091557,SELL-00440397,2,959.74,275.18,334.74,1979.04,SGD,AUS,Europe,Dropship,false,0,0,2026-01-11 20:23:51,michelle.sims041@analytics.example.com
,ITEM-202601-000000000037,ORD-202601-0000008648,PROD-0001087381,SELL-00440589,4,10.98,9.44,6.65,41.13,SGD,USA,Europe,Seller Fulfilled,false,0,0,2026-01-01 18:59:26,sandra.hunter036@platform.example.com
,ITEM-202601-000000000038,ORD-202601-0000007396,PROD-0001094830,SELL-00439502,1,442.86,69.24,86.83,460.45,AUD,JPN,Oceania,Platform Fulfilled,false,0,0,2026-01-11 05:01:14,tammy.smith009@platform.example.com
,ITEM-202601-000000000039,ORD-202601-0000017659,PROD-0001094186,SELL-00440204,5,169.11,79.51,51.58,817.62,CAD,AUS,Europe,Dropship,false,0,0,2026-01-22 06:19:58,megan.cunningham013@commerce.example.com
,ITEM-202601-000000000040,ORD-202601-0000017514,PROD-0001094840,SELL-00435617,1,509.01,55.58,83.96,537.39,AED,SGP,Europe,Platform Fulfilled,false,0,0,2026-01-22 11:04:10,judy.rogers086@platform.example.com
,ITEM-202601-000000000041,ORD-202601-0000018620,PROD-0001086638,SELL-00438146,5,188.75,195.07,76.55,825.23,CAD,USA,South America,Seller Fulfilled,false,0,0,2026-01-29 19:09:48,katelyn.pitts017@commerce.example.com
,ITEM-202601-000000000042,ORD-202601-0000019635,PROD-0001091922,SELL-00441409,4,1001.62,499.46,197.56,3704.58,AED,FRA,Europe,Dropship,false,0,0,2026-01-22 05:18:55,kenneth.rodgers059@analytics.example.com
,ITEM-202601-000000000043,ORD-202601-0000008781,PROD-0001084465,SELL-00437108,3,1097.89,259.81,634.08,3667.94,JPY,ARE,Europe,Platform Fulfilled,false,0,0,2026-01-06 08:29:46,maria.ashley046@analytics.example.com
,ITEM-202601-000000000044,ORD-202601-0000010527,PROD-0001093911,SELL-00437983,4,375.16,236.48,111.3,1375.46,MXN,AUS,Asia,Dropship,false,0,0,2026-01-31 04:14:38,susan.rice083@commerce.example.com
,ITEM-202601-000000000045,ORD-202601-0000015200,PROD-0001081722,SELL-00440572,4,465.74,17.36,42.23,1887.83,JPY,CAN,Europe,Platform Fulfilled,false,0,0,2026-01-05 14:41:28,joseph.johnson049@dataops.example.com
,ITEM-202601-000000000046,ORD-202601-0000003357,PROD-0001097261,SELL-00435736,1,912.05,149.95,136.75,898.85,MXN,GBR,Europe,Dropship,false,0,0,2026-01-14 18:50:41,james.proctor094@dataops.example.com
,ITEM-202601-000000000047,ORD-202601-0000015959,PROD-0001095259,SELL-00437984,6,982.56,917.45,237.64,5215.55,AED,AUS,Europe,Dropship,true,0,0,2026-01-04 15:06:17,stephen.daniels076@commerce.example.com
,ITEM-202601-000000000048,ORD-202601-0000001827,PROD-0001090059,SELL-00438953,1,157.1,22.51,24.14,158.73,CAD,MEX,Europe,Seller Fulfilled,false,0,0,2026-01-09 01:53:36,renee.harvey080@dataops.example.com
,ITEM-202601-000000000049,ORD-202601-0000001850,PROD-0001083622,SELL-00440062,1,782.79,115.08,35.04,702.75,INR,FRA,North America,Seller Fulfilled,false,0,0,2026-01-01 14:30:59,andrea.cummings039@platform.example.com
,ITEM-202601-000000000050,ORD-202601-0000016804,PROD-0001090016,SELL-00436099,4,269.56,63.36,186.7,1201.58,BRL,ARE,Asia,Seller Fulfilled,false,0,0,2026-01-02 07:43:54,jack.smith053@analytics.example.com
,ITEM-202601-000000000051,ORD-202601-0000000645,PROD-0001091422,SELL-00435749,1,831.88,100.59,94.21,825.5,EUR,SGP,North America,Dropship,false,0,0,2026-01-28 22:18:24,victoria.medina044@dataops.example.com
,ITEM-202601-000000000052,ORD-202601-0000018800,PROD-0001083956,SELL-00435099,5,716.08,576.57,578.63,3582.46,EUR,JPN,Asia,Dropship,false,0,782.97,2026-01-17 09:40:17,jimmy.washington028@commerce.example.com
,ITEM-202601-000000000053,ORD-202601-0000004406,PROD-0001092554,SELL-00437517,5,292.09,226.58,61.8,1295.67,AUD,JPN,Europe,Seller Fulfilled,false,0,0,2026-01-11 14:59:07,tara.hansen055@dataops.example.com
,ITEM-202601-000000000054,ORD-202601-0000003071,PROD-0001082428,SELL-00438389,1,1103.88,148.94,133.22,1088.16,INR,MEX,North America,Platform Fulfilled,false,0,0,2026-01-13 23:41:31,stephanie.miller092@analytics.example.com
,ITEM-202601-000000000055,ORD-202601-0000005707,PROD-0001096330,SELL-00439640,2,989.32,427.97,299.92,1850.59,AED,MEX,Europe,Platform Fulfilled,false,0,0,2026-01-13 02:26:24,judy.rogers086@platform.example.com
,ITEM-202601-000000000056,ORD-202601-0000008442,PROD-0001087114,SELL-00441020,4,195.42,94.77,97.48,784.39,BRL,IND,Europe,Dropship,false,0,0,2026-01-28 12:52:47,kimberly.harmon088@commerce.example.com
,ITEM-202601-000000000057,ORD-202601-0000005232,PROD-0001087830,SELL-00436487,2,994.37,361.25,156.39,1783.88,USD,ITA,Europe,Dropship,false,0,0,2026-01-10 20:54:30,kimberly.harmon088@commerce.example.com
,ITEM-202601-000000000058,ORD-202601-0000001715,PROD-0001082761,SELL-00436381,4,15.37,13.23,10.44,58.69,SGD,SGP,Asia,Seller Fulfilled,false,0,0,2026-01-23 02:45:46,elizabeth.mullins042@platform.example.com
,ITEM-202601-000000000059,ORD-202601-0000007410,PROD-0001090972,SELL-00437111,4,150.43,105.99,47.06,542.79,USD,BRA,North America,Dropship,false,0,0,2026-01-07 10:02:25,adam.gordon030@commerce.example.com
,ITEM-202601-000000000060,ORD-202601-0000011534,PROD-0001097037,SELL-00437482,1,750.64,148.7,125.2,727.14,JPY,JPN,Europe,Platform Fulfilled,false,0,0,2026-01-30 13:05:53,lance.williams029@platform.example.com
,ITEM-202601-000000000061,ORD-202601-0000018734,PROD-0001087959,SELL-00435753,6,379.2,455.41,213.7,2033.49,JPY,JPN,Asia,Dropship,false,0,0,2026-01-03 02:11:03,brittany.barber031@commerce.example.com
,ITEM-202601-000000000062,ORD-202601-0000009243,PROD-0001098151,SELL-00437183,6,366.27,365.18,136.18,1968.62,INR,USA,Europe,Dropship,false,0,1966.92,2026-01-01 11:14:05,darren.anderson025@dataops.example.com
,ITEM-202601-000000000063,ORD-202601-0000012198,PROD-0001096326,SELL-00441303,2,743.74,17.27,70.91,1541.12,MXN,DEU,Europe,Seller Fulfilled,false,0,0,2026-01-19 03:44:20,benjamin.brooks117@dataops.example.com
,ITEM-202601-000000000064,ORD-202601-0000003454,PROD-0001096353,SELL-00436913,3,24.07,0.32,8.75,80.64,EUR,USA,Europe,Dropship,false,0,0,2026-01-05 12:22:26,benjamin.brooks117@dataops.example.com
,ITEM-202601-000000000065,ORD-202601-0000012703,PROD-0001097185,SELL-00438289,2,414.84,168.4,27.15,688.43,AUD,DEU,Europe,Dropship,false,0,626.85,2026-01-04 01:16:36,jennifer.atkins003@platform.example.com
,ITEM-202601-000000000066,ORD-202601-0000020098,PROD-0001085740,SELL-00441171,2,194.84,80.63,26.42,335.47,INR,MEX,South America,Platform Fulfilled,false,0,0,2026-01-21 18:40:37,shawn.baxter004@dataops.example.com
,ITEM-202601-000000000067,ORD-202601-0000009265,PROD-0001094908,SELL-00439193,2,307.81,7.79,29.25,637.08,USD,USA,Asia,Dropship,false,2,0,2026-01-10 11:32:35,brian.banks011@platform.example.com
,ITEM-202601-000000000068,ORD-202601-0000008659,PROD-0001092452,SELL-00438004,2,196.49,37.11,72.17,428.04,BRL,GBR,Asia,Platform Fulfilled,false,0,0,2026-01-09 10:42:30,nicholas.wilson027@analytics.example.com
,ITEM-202601-000000000069,ORD-202601-0000010674,PROD-0001091677,SELL-00438173,2,383.44,14.94,75.65,827.59,INR,AUS,Oceania,Dropship,false,0,0,2026-01-10 19:40:05,tina.williams074@commerce.example.com
,ITEM-202601-000000000070,ORD-202601-0000017436,PROD-0001096970,SELL-00435947,1,209.89,8.37,36.54,238.06,CAD,AUS,Europe,Seller Fulfilled,false,0,0,2026-01-10 14:23:42,victor.palmer071@platform.example.com
,ITEM-202601-000000000071,ORD-202601-0000006348,PROD-0001086066,SELL-00441222,1,731.23,54.21,13.66,690.68,JPY,SGP,North America,Platform Fulfilled,false,1,0,2026-01-24 17:05:53,lance.williams029@platform.example.com
,ITEM-202601-000000000072,ORD-202601-0000020260,PROD-0001095217,SELL-00439216,2,584.64,254.91,182.08,1096.45,SGD,NLD,South America,Seller Fulfilled,false,0,0,2026-01-05 14:02:53,rachel.hall062@platform.example.com
,ITEM-202601-000000000073,ORD-202601-0000002600,PROD-0001091823,SELL-00440962,1,895.83,147.2,23.81,772.44,CAD,IND,North America,Dropship,false,0,0,2026-01-10 00:38:47,jennifer.shepherd015@analytics.example.com
,ITEM-202601-000000000074,ORD-202601-0000002273,PROD-0001092067,SELL-00439867,2,891.35,313.53,71.08,1540.25,BRL,CAN,North America,Platform Fulfilled,false,0,0,2026-01-23 08:52:49,joseph.griffin070@analytics.example.com
,ITEM-202601-000000000075,ORD-202601-0000004761,PROD-0001092800,SELL-00436576,5,562.29,64.29,618.14,3365.3,MXN,ESP,Asia,Seller Fulfilled,false,0,0,2026-01-15 00:23:58,michelle.sims041@analytics.example.com
,ITEM-202601-000000000076,ORD-202601-0000013396,PROD-0001090481,SELL-00440171,2,385.12,28.6,115.48,857.12,MXN,IND,Asia,Seller Fulfilled,false,0,0,2026-01-03 19:30:32,lance.williams029@platform.example.com
,ITEM-202601-000000000077,ORD-202601-0000008882,PROD-0001087447,SELL-00438619,4,118.01,55.55,20.23,436.72,GBP,DEU,Europe,Platform Fulfilled,false,0,0,2026-01-16 22:25:59,michelle.bender024@analytics.example.com
,ITEM-202601-000000000078,ORD-202601-0000008309,PROD-0001081894,SELL-00435105,2,1198.39,34.59,278.25,2640.44,EUR,BRA,Asia,Seller Fulfilled,true,0,0,2026-01-17 14:29:18,joseph.johnson049@dataops.example.com
,ITEM-202601-000000000079,ORD-202601-0000000076,PROD-0001081538,SELL-00436481,2,567.77,144.56,174.66,1165.64,GBP,JPN,Europe,Seller Fulfilled,false,0,0,2026-01-03 12:09:14,judy.rogers086@platform.example.com
,ITEM-202601-000000000080,ORD-202601-0000015646,PROD-0001094049,SELL-00436226,5,657.83,653.94,534.69,3169.9,INR,AUS,Europe,Dropship,false,0,0,2026-01-30 10:08:49,carol.bonilla067@analytics.example.com
