order_record_id,order_id,customer_id,session_id,order_timestamp,order_status,country_name,country_code,region_name,local_currency,subtotal_local,discount_local,shipping_local,tax_local,total_amount_local,payment_method,shipping_method,warehouse_id,estimated_delivery_date,actual_delivery_date,cancellation_date,return_flag,refund_amount_local,source_system,created_at,updated_at,created_by
,ORD-202112-0000000000,CUST-0000489865,SES-202112-0000007079,2021-12-14 01:31:46,Completed,Japan,JPN,Asia,JPY,1680.25,398.62,44.65,181.2,1507.48,Debit Card,Express,WH-00176,2021-12-16,2021-12-16,,false,0,Mobile,2021-12-14 01:31:46,2021-12-14 02:08:46,ryan.steele043@commerce.example.com
,ORD-202112-0000000001,CUST-0000468323,SES-202112-0000006173,2021-12-20 19:59:18,Completed,France,FRA,Europe,EUR,2996.65,16.44,37.36,627.59,3645.16,Credit Card,Standard,WH-00217,2021-12-22,2021-12-22,,false,0,Web,2021-12-20 19:59:18,2021-12-20 20:02:18,victoria.medina044@dataops.example.com
,ORD-202112-0000000002,CUST-0000481412,SES-202112-0000012698,2021-12-02 01:41:16,Completed,United Arab Emirates,ARE,Asia,AED,1042.15,60.76,15.53,26.87,1023.79,Buy Now Pay Later,Economy,WH-00204,2021-12-04,2021-12-04,,false,0,Marketplace,2021-12-02 01:41:16,2021-12-02 03:38:16,david.cabrera119@dataops.example.com
,ORD-202112-0000000003,CUST-0000472159,SES-202112-0000005886,2021-12-09 10:03:47,Processing,India,IND,Asia,INR,2056.88,128.23,30.6,138.46,2097.71,Apple Pay,Economy,WH-00077,2021-12-14,,,false,0,Mobile,2021-12-09 10:03:47,2021-12-09 10:05:47,susan.rice083@commerce.example.com
,ORD-202112-0000000004,CUST-0000489157,SES-202112-0000021232,2021-12-18 08:41:12,Completed,India,IND,Asia,INR,1480.21,37.14,5.38,155.77,1604.22,Paytm,Same Day,WH-00207,2021-12-25,2021-12-25,,false,0,Mobile,2021-12-18 08:41:12,2021-12-18 10:01:12,troy.boone097@platform.example.com
,ORD-202112-0000000005,CUST-0000474101,SES-202112-0000015875,2021-12-23 16:48:22,Completed,Netherlands,NLD,Europe,EUR,2315.57,436.79,39.57,317.39,2235.74,Bank Transfer,Express,WH-00231,2021-12-26,2021-12-26,,false,0,Mobile,2021-12-23 16:48:22,2021-12-23 17:27:22,lance.williams029@platform.example.com
,ORD-202112-0000000006,CUST-0000466146,SES-202112-0000019398,2021-12-19 06:55:25,Returned,Singapore,SGP,Asia,SGD,1880.89,93.24,17.89,127.86,1933.4,Gift Card,Pickup,WH-00008,2021-12-25,,,true,1933.4,Mobile,2021-12-19 06:55:25,2021-12-19 07:21:25,john.mullins109@commerce.example.com
,ORD-202112-0000000007,CUST-0000487244,SES-202112-0000017251,2021-12-13 07:25:09,Completed,Japan,JPN,Asia,JPY,907.02,104.12,37.11,17.04,857.05,Gift Card,Standard,WH-00031,2021-12-25,2021-12-25,,false,0,Marketplace,2021-12-13 07:25:09,2021-12-13 09:07:09,brandi.carter038@dataops.example.com
,ORD-202112-0000000008,CUST-0000492157,SES-202112-0000012318,2021-12-09 12:00:25,Completed,Brazil,BRA,South America,BRL,2445.51,601.31,27.55,71.07,1942.82,PayPal,Economy,WH-00090,2021-12-17,2021-12-17,,false,0,POS,2021-12-09 12:00:25,2021-12-09 14:50:25,andrea.cummings039@platform.example.com
,ORD-202112-0000000009,CUST-0000460125,SES-202112-0000026870,2021-12-12 19:50:13,Completed,Canada,CAN,North America,CAD,569.51,53.77,18.34,98.88,632.96,Bank Transfer,Standard,WH-00095,2021-12-17,2021-12-17,,false,0,Web,2021-12-12 19:50:13,2021-12-12 20:16:13,david.cabrera119@dataops.example.com
