payment_record_id,payment_id,order_id,customer_id,payment_timestamp,payment_method,payment_status,payment_amount_local,local_currency,country_code,region_name,failure_reason,refund_flag,created_at,created_by
,PAY-202607-00000000000,ORD-202607-0000006546,CUST-0002160090,2026-07-31 16:23:46,Credit Card,Success,590.08,EUR,ITA,Europe,,false,2026-07-31 16:23:46,patrick.gonzalez035@dataops.example.com
,PAY-202607-00000000001,ORD-202607-0000011006,CUST-0002172159,2026-07-01 08:27:00,Paytm,Success,1319.12,USD,USA,North America,,false,2026-07-01 08:27:00,lance.williams029@platform.example.com
,PAY-202607-00000000002,ORD-202607-0000008899,CUST-0002188963,2026-07-10 20:53:39,Phonepe,Success,3192.56,USD,USA,North America,,false,2026-07-10 20:53:39,jennifer.erickson018@platform.example.com
,PAY-202607-00000000003,ORD-202607-0000008039,CUST-0002184020,2026-07-10 11:30:30,PayPal,Success,2368.92,AED,ARE,Asia,,false,2026-07-10 11:30:30,carol.bonilla067@analytics.example.com
,PAY-202607-00000000004,ORD-202607-0000003912,CUST-0002167515,2026-07-12 20:52:09,Debit Card,Success,470.11,EUR,NLD,Europe,,false,2026-07-12 20:52:09,renee.harvey080@dataops.example.com
,PAY-202607-00000000005,ORD-202607-0000005360,CUST-0002185710,2026-07-10 23:35:13,PayPal,Success,2555.69,INR,IND,Asia,,false,2026-07-10 23:35:13,alyssa.richards002@commerce.example.com
,PAY-202607-00000000006,ORD-202607-0000004183,CUST-0002170420,2026-07-22 14:31:08,PayPal,Success,2453.84,MXN,MEX,North America,,false,2026-07-22 14:31:08,richard.bradshaw051@platform.example.com
,PAY-202607-00000000007,ORD-202607-0000002574,CUST-0002159147,2026-07-29 14:38:01,Apple Pay,Success,1511.53,SGD,SGP,Asia,,false,2026-07-29 14:38:01,brian.banks011@platform.example.com
,PAY-202607-00000000008,ORD-202607-0000007603,CUST-0002152547,2026-07-09 00:59:17,PayPal,Success,1088.7,INR,IND,Asia,,false,2026-07-09 00:59:17,kimberly.harmon088@commerce.example.com
,PAY-202607-00000000009,ORD-202607-0000000793,CUST-0002186983,2026-07-26 05:31:36,Phonepe,Success,2666.23,GBP,GBR,Europe,,false,2026-07-26 05:31:36,raymond.davis085@analytics.example.com
,PAY-202607-00000000010,ORD-202607-0000005589,CUST-0002172068,2026-07-21 16:08:35,Google Pay,Success,783.29,JPY,JPN,Asia,,false,2026-07-21 16:08:35,stephen.daniels076@commerce.example.com
,PAY-202607-00000000011,ORD-202607-0000006072,CUST-0002174617,2026-07-26 11:34:29,Bank Transfer,Success,2607.66,JPY,JPN,Asia,,false,2026-07-26 11:34:29,allen.foster026@dataops.example.com
,PAY-202607-00000000012,ORD-202607-0000010192,CUST-0002166450,2026-07-04 15:16:05,Debit Card,Success,757.88,EUR,ESP,Europe,,false,2026-07-04 15:16:05,alyssa.richards002@commerce.example.com
,PAY-202607-00000000013,ORD-202607-0000009340,CUST-0002171266,2026-07-12 03:06:38,Google Pay,Success,49.58,AUD,AUS,Oceania,,false,2026-07-12 03:06:38,taylor.cunningham023@commerce.example.com
,PAY-202607-00000000014,ORD-202607-0000000575,CUST-0002177860,2026-07-04 05:41:35,Google Pay,Success,413.21,EUR,DEU,Europe,,false,2026-07-04 05:41:35,brian.banks011@platform.example.com
,PAY-202607-00000000015,ORD-202607-0000010253,CUST-0002184864,2026-07-06 11:42:33,Bank Transfer,Success,202.66,EUR,ESP,Europe,,false,2026-07-06 11:42:33,lance.williams029@platform.example.com
,PAY-202607-00000000016,ORD-202607-0000010807,CUST-0002159602,2026-07-30 02:49:24,Google Pay,Success,1019.56,AED,ARE,Asia,,false,2026-07-30 02:49:24,victoria.medina044@dataops.example.com
,PAY-202607-00000000017,ORD-202607-0000002872,CUST-0002188010,2026-07-23 15:57:29,Apple Pay,Success,3206.06,EUR,NLD,Europe,,false,2026-07-23 15:57:29,willie.long016@dataops.example.com
,PAY-202607-00000000018,ORD-202607-0000008592,CUST-0002179879,2026-07-05 22:25:32,PayPal,Success,1815.88,USD,USA,North America,,false,2026-07-05 22:25:32,kristin.krueger034@analytics.example.com
,PAY-202607-00000000019,ORD-202607-0000006181,CUST-0002176273,2026-07-22 07:30:44,Google Pay,Success,742.23,JPY,JPN,Asia,,false,2026-07-22 07:30:44,michael.brewer084@analytics.example.com
,PAY-202607-00000000020,ORD-202607-0000005902,CUST-0002156833,2026-07-04 09:35:45,Apple Pay,Success,326.61,GBP,GBR,Europe,,false,2026-07-04 09:35:45,jimmy.washington028@commerce.example.com
,PAY-202607-00000000021,ORD-202607-0000002068,CUST-0002179743,2026-07-31 05:05:46,Paytm,Success,1764.97,SGD,SGP,Asia,,false,2026-07-31 05:05:46,brandi.carter038@dataops.example.com
,PAY-202607-00000000022,ORD-202607-0000003413,CUST-0002189677,2026-07-23 16:48:08,Apple Pay,Success,1570.68,INR,IND,Asia,,false,2026-07-23 16:48:08,brandon.yu006@analytics.example.com
,PAY-202607-00000000023,ORD-202607-0000005447,CUST-0002152652,2026-07-20 18:14:08,Google Pay,Success,3178.79,EUR,ESP,Europe,,false,2026-07-20 18:14:08,dominic.hodges075@platform.example.com
,PAY-202607-00000000024,ORD-202607-0000010868,CUST-0002154668,2026-07-09 21:38:00,Google Pay,Success,3290.57,AED,ARE,Asia,,false,2026-07-09 21:38:00,adam.gordon030@commerce.example.com
,PAY-202607-00000000025,ORD-202607-0000003816,CUST-0002153590,2026-07-16 21:52:51,PayPal,Success,2744.12,SGD,SGP,Asia,,false,2026-07-16 21:52:51,megan.cunningham013@commerce.example.com
,PAY-202607-00000000026,ORD-202607-0000007206,CUST-0002164107,2026-07-19 02:27:34,PayPal,Success,17.74,AUD,AUS,Oceania,,false,2026-07-19 02:27:34,stephen.daniels076@commerce.example.com
,PAY-202607-00000000027,ORD-202607-0000006121,CUST-0002180240,2026-07-23 00:09:01,Gift Card,Success,267.81,AUD,AUS,Oceania,,false,2026-07-23 00:09:01,jennifer.atkins003@platform.example.com
,PAY-202607-00000000028,ORD-202607-0000002232,CUST-0002159298,2026-07-30 20:01:52,Debit Card,Success,1076.37,CAD,CAN,North America,,false,2026-07-30 20:01:52,chelsea.patel065@commerce.example.com
,PAY-202607-00000000029,ORD-202607-0000003208,CUST-0002155289,2026-07-10 13:27:00,Buy Now Pay Later,Success,2870.8,BRL,BRA,South America,,false,2026-07-10 13:27:00,mary.jordan048@analytics.example.com
,PAY-202607-00000000030,ORD-202607-0000001632,CUST-0002170447,2026-07-19 07:07:40,Bank Transfer,Pending,1340.74,JPY,JPN,Asia,,false,2026-07-19 07:07:40,yolanda.vasquez005@platform.example.com
,PAY-202607-00000000031,ORD-202607-0000001795,CUST-0002159620,2026-07-07 16:26:34,Phonepe,Success,3158.21,EUR,DEU,Europe,,false,2026-07-07 16:26:34,kelsey.taylor010@platform.example.com
,PAY-202607-00000000032,ORD-202607-0000008895,CUST-0002168105,2026-07-12 20:59:41,Debit Card,Success,2630.34,SGD,SGP,Asia,,false,2026-07-12 20:59:41,kristin.krueger034@analytics.example.com
,PAY-202607-00000000033,ORD-202607-0000008614,CUST-0002177701,2026-07-08 10:37:55,PayPal,Success,1999.81,EUR,NLD,Europe,,false,2026-07-08 10:37:55,tara.hansen055@dataops.example.com
,PAY-202607-00000000034,ORD-202607-0000005687,CUST-0002187228,2026-07-09 18:26:10,Phonepe,Success,3303.3,MXN,MEX,North America,,false,2026-07-09 18:26:10,kevin.mathews014@analytics.example.com
,PAY-202607-00000000035,ORD-202607-0000006987,CUST-0002177948,2026-07-12 11:35:03,Bank Transfer,Refunded,1950.38,EUR,ESP,Europe,,true,2026-07-12 11:35:03,stephen.jordan063@commerce.example.com
,PAY-202607-00000000036,ORD-202607-0000001153,CUST-0002159448,2026-07-24 06:00:42,Google Pay,Success,2622.71,EUR,ITA,Europe,,false,2026-07-24 06:00:42,brandi.carter038@dataops.example.com
,PAY-202607-00000000037,ORD-202607-0000011174,CUST-0002160603,2026-07-31 05:05:38,Buy Now Pay Later,Success,2896.56,EUR,NLD,Europe,,false,2026-07-31 05:05:38,christine.johnson056@commerce.example.com
,PAY-202607-00000000038,ORD-202607-0000000677,CUST-0002173825,2026-07-02 04:18:53,Paytm,Success,1033.89,SGD,SGP,Asia,,false,2026-07-02 04:18:53,stephanie.miller092@analytics.example.com
