seller_record_id,seller_id,seller_name,seller_type,country_name,country_code,region_name,seller_rating,seller_status,fulfillment_type,seller_join_date,effective_from,effective_to,is_current,created_at,created_by
463205,SELL-00463205,Rocha PLC,Marketplace,Japan,JPN,Asia,4.8,Active,Seller Fulfilled,2026-05-16,2026-05-16 00:00:00,,true,2026-05-16 00:30:49,megan.cunningham013@commerce.example.com
463206,SELL-00463206,Shaw Ltd,Brand,Mexico,MEX,North America,3.65,Inactive,Dropship,2026-05-18,2026-05-18 00:00:00,,true,2026-05-18 20:24:58,samantha.villa073@commerce.example.com
463207,SELL-00463207,Miller-Lopez,Brand,Germany,DEU,Europe,3.42,Active,Platform Fulfilled,2026-05-21,2026-05-21 00:00:00,,true,2026-05-21 19:53:28,jennifer.atkins003@platform.example.com
463208,SELL-00463208,Warner-Clark,Retailer,Spain,ESP,Europe,3.97,Active,Dropship,2026-05-27,2026-05-27 00:00:00,,true,2026-05-27 09:11:10,eric.horton058@analytics.example.com
463209,SELL-00463209,Salazar Ltd,Marketplace,Brazil,BRA,South America,4.92,Active,Platform Fulfilled,2026-05-10,2026-05-10 00:00:00,,true,2026-05-10 20:30:30,jonathan.jimenez057@platform.example.com
463210,SELL-00463210,Davis and Sons,Retailer,United Kingdom,GBR,Europe,3.35,Active,Platform Fulfilled,2026-05-31,2026-05-31 00:00:00,,true,2026-05-31 10:26:15,samantha.villa073@commerce.example.com
463211,SELL-00463211,"Ibarra, Snow and Jackson",Distributor,Japan,JPN,Asia,3.31,Active,Dropship,2026-05-19,2026-05-19 00:00:00,,true,2026-05-19 17:09:10,christine.johnson056@commerce.example.com
463212,SELL-00463212,Brown-Herring,Marketplace,Netherlands,NLD,Europe,4.76,Active,Seller Fulfilled,2026-05-31,2026-05-31 00:00:00,,true,2026-05-31 23:44:06,renee.harvey080@dataops.example.com
463213,SELL-00463213,Hamilton-Webb,Retailer,Brazil,BRA,South America,3.76,Inactive,Dropship,2026-05-05,2026-05-05 00:00:00,,true,2026-05-05 16:01:27,linda.daniels047@dataops.example.com
463214,SELL-00463214,Larson-Lewis,Distributor,India,IND,Asia,3.48,Active,Seller Fulfilled,2026-05-26,2026-05-26 00:00:00,,true,2026-05-26 15:17:31,nancy.gross008@dataops.example.com
463215,SELL-00463215,"Hinton, Warren and House",Retailer,Brazil,BRA,South America,4.03,Active,Seller Fulfilled,2026-05-03,2026-05-03 00:00:00,,true,2026-05-03 19:52:23,tammy.smith009@platform.example.com
463216,SELL-00463216,Lawrence Ltd,Distributor,Brazil,BRA,South America,4.25,Active,Dropship,2026-05-13,2026-05-13 00:00:00,,true,2026-05-13 23:57:23,victoria.medina044@dataops.example.com
463217,SELL-00463217,Vargas-Richard,Brand,Brazil,BRA,South America,3.9,Active,Seller Fulfilled,2026-05-12,2026-05-12 00:00:00,,true,2026-05-12 20:34:01,jennifer.hudson020@analytics.example.com
463218,SELL-00463218,Green Ltd,Brand,Australia,AUS,Oceania,4.07,Active,Seller Fulfilled,2026-05-25,2026-05-25 00:00:00,,true,2026-05-25 16:17:56,christine.carter078@commerce.example.com
463219,SELL-00463219,Perez Group,Distributor,United States,USA,North America,4.6,Active,Platform Fulfilled,2026-05-01,2026-05-01 00:00:00,,true,2026-05-01 05:13:10,brandi.carter038@dataops.example.com
463220,SELL-00463220,"Pollard, Estrada and Matthews",Marketplace,United Kingdom,GBR,Europe,4.16,Active,Platform Fulfilled,2026-05-30,2026-05-30 00:00:00,,true,2026-05-30 23:22:26,michael.berger060@platform.example.com
463221,SELL-00463221,"Evans, Rubio and Martin",Retailer,Italy,ITA,Europe,4.66,Active,Dropship,2026-05-23,2026-05-23 00:00:00,,true,2026-05-23 03:02:32,joseph.johnson049@dataops.example.com
463222,SELL-00463222,Marquez-Novak,Retailer,Italy,ITA,Europe,3.55,Inactive,Dropship,2026-05-15,2026-05-15 00:00:00,,true,2026-05-15 12:13:17,russell.miller054@platform.example.com
463223,SELL-00463223,Stevenson Ltd,Small Business,Singapore,SGP,Asia,4.18,Active,Platform Fulfilled,2026-05-05,2026-05-05 00:00:00,,true,2026-05-05 17:41:52,stephen.jordan063@commerce.example.com
463224,SELL-00463224,"Sandoval, Fox and Myers",Marketplace,Spain,ESP,Europe,4.06,Active,Platform Fulfilled,2026-05-10,2026-05-10 00:00:00,,true,2026-05-10 11:27:41,jennifer.shepherd015@analytics.example.com
463225,SELL-00463225,"Stevens, Ball and Baker",Small Business,United Kingdom,GBR,Europe,3.9,Active,Dropship,2026-05-24,2026-05-24 00:00:00,,true,2026-05-24 18:47:52,willie.long016@dataops.example.com
463226,SELL-00463226,Walker Group,Marketplace,Japan,JPN,Asia,4.39,Active,Seller Fulfilled,2026-05-09,2026-05-09 00:00:00,,true,2026-05-09 16:05:47,jennifer.atkins003@platform.example.com
463227,SELL-00463227,Young-Greer,Retailer,United Arab Emirates,ARE,Asia,4.42,Active,Platform Fulfilled,2026-05-04,2026-05-04 00:00:00,,true,2026-05-04 02:02:15,micheal.hall064@dataops.example.com
463228,SELL-00463228,Macdonald PLC,Small Business,Brazil,BRA,South America,3.98,Active,Platform Fulfilled,2026-05-26,2026-05-26 00:00:00,,true,2026-05-26 09:12:46,tina.williams074@commerce.example.com
463229,SELL-00463229,Ford-Finley,Retailer,France,FRA,Europe,4.35,Active,Seller Fulfilled,2026-05-16,2026-05-16 00:00:00,,true,2026-05-16 01:34:10,jennifer.hudson020@analytics.example.com
