session_record_id,session_id,customer_id,session_start,session_end,session_duration_seconds,country_name,country_code,region_name,currency_code,platform,device_type,operating_system,browser,traffic_source,traffic_medium,campaign_id,landing_page,exit_page,is_new_customer,is_new_session,created_at,created_by
,SES-202006-0000000000,CUST-0000087037,2020-06-27 22:28:45,2020-06-27 22:30:20,95,United Kingdom,GBR,Europe,GBP,Mobile Web,Mobile,iOS,Chrome,Google,social,,/category,/cart,false,true,2020-06-27 22:28:45,susan.rice083@commerce.example.com
,SES-202006-0000000001,CUST-0000090212,2020-06-26 18:08:36,2020-06-26 18:11:34,178,Brazil,BRA,South America,BRL,Mobile Web,Desktop,macOS,Chrome,Direct,cpc,,/offers,/checkout,false,true,2020-06-26 18:08:36,andrea.cummings039@platform.example.com
,SES-202006-0000000002,CUST-0000092592,2020-06-01 06:10:19,2020-06-01 06:24:09,830,France,FRA,Europe,EUR,Web,Mobile,iOS,Firefox,Email,cpc,CAMP-2020-0031,/product,/product,false,true,2020-06-01 06:10:19,peter.martinez098@platform.example.com
,SES-202006-0000000003,CUST-0000084004,2020-06-15 13:51:43,2020-06-15 13:52:36,53,Germany,DEU,Europe,EUR,Mobile Web,Mobile,macOS,Chrome,Google,cpc,CAMP-2020-0013,/search,/home,false,false,2020-06-15 13:51:43,eric.horton058@analytics.example.com
,SES-202006-0000000004,CUST-0000093215,2020-06-30 16:14:33,2020-06-30 16:14:54,21,Canada,CAN,North America,CAD,iOS,Laptop,Windows,Chrome,Google,direct,CAMP-2020-0025,/product,/search,true,false,2020-06-30 16:14:33,michelle.bender024@analytics.example.com
,SES-202006-0000000005,CUST-0000089299,2020-06-07 17:18:41,2020-06-07 17:21:01,140,Germany,DEU,Europe,EUR,Web,Mobile,iOS,Chrome,Google,cpc,,/product,/product,true,false,2020-06-07 17:18:41,lance.williams029@platform.example.com
,SES-202006-0000000006,CUST-0000084460,2020-06-21 01:08:56,2020-06-21 01:09:42,46,United Kingdom,GBR,Europe,GBP,Web,Mobile,ChromeOS,Edge,Instagram,cpc,,/product,/product,true,true,2020-06-21 01:08:56,eric.mullen052@dataops.example.com
,SES-202006-0000000007,CUST-0000090266,2020-06-02 05:46:31,2020-06-02 05:48:04,93,Japan,JPN,Asia,JPY,Android,Mobile,Android,Safari,Instagram,organic,CAMP-2020-0017,/sale,/home,false,false,2020-06-02 05:46:31,michelle.sims041@analytics.example.com
,SES-202006-0000000008,CUST-0000084295,2020-06-04 10:04:27,2020-06-04 10:07:12,165,Spain,ESP,Europe,EUR,Android,Mobile,Android,Samsung Internet,TikTok,direct,,/sale,/product,false,true,2020-06-04 10:04:27,david.cabrera119@dataops.example.com
,SES-202006-0000000009,CUST-0000096804,2020-06-30 20:26:40,2020-06-30 20:28:03,83,Italy,ITA,Europe,EUR,Web,Desktop,ChromeOS,Safari,Organic,direct,,/offers,/home,true,false,2020-06-30 20:26:40,victor.palmer071@platform.example.com
