shipment_record_id,shipment_id,order_id,warehouse_id,country_code,region_name,carrier,shipping_method,shipment_status,shipped_timestamp,estimated_delivery_date,actual_delivery_timestamp,delivery_attempts,delivery_country,created_at,created_by
,SHP-202406-0000000000,ORD-202406-0000000683,WH-00195,FRA,Europe,Australia Post,Express,Delivered,2024-06-15 00:41:23,2024-06-21,2024-06-21 01:41:23,1,United States,2024-06-15 00:41:23,kristin.krueger034@analytics.example.com
,SHP-202406-0000000001,ORD-202406-0000001774,WH-00210,GBR,Europe,UPS,Express,Delivered,2024-06-22 19:37:38,2024-06-30,2024-07-07 04:37:38,1,Germany,2024-06-22 19:37:38,beth.carter090@dataops.example.com
,SHP-202406-0000000002,ORD-202406-0000002968,WH-00218,NLD,Asia,FedEx,Standard,Delivered,2024-06-19 19:47:57,2024-06-21,2024-07-02 00:47:57,1,Netherlands,2024-06-19 19:47:57,christine.johnson056@commerce.example.com
,SHP-202406-0000000003,ORD-202406-0000003704,WH-00205,CAN,South America,DHL,Pickup,Returned,2024-06-08 09:11:19,2024-06-11,,2,France,2024-06-08 09:11:19,crystal.smith022@platform.example.com
,SHP-202406-0000000004,ORD-202406-0000005123,WH-00221,ESP,Asia,Australia Post,Economy,In Transit,2024-06-09 01:08:00,2024-06-17,,2,India,2024-06-09 01:08:00,john.mullins109@commerce.example.com
,SHP-202406-0000000005,ORD-202406-0000006389,WH-00027,ITA,Europe,Australia Post,Express,Delivered,2024-06-21 10:14:23,2024-06-25,2024-07-05 12:14:23,1,Germany,2024-06-21 10:14:23,micheal.hall064@dataops.example.com
,SHP-202406-0000000006,ORD-202406-0000001260,WH-00052,MEX,North America,USPS,Pickup,Returned,2024-06-18 18:04:59,2024-06-20,,1,India,2024-06-18 18:04:59,jeffery.miller012@commerce.example.com
,SHP-202406-0000000007,ORD-202406-0000004831,WH-00195,USA,South America,DPD,Same Day,Delivered,2024-06-29 04:39:18,2024-07-07,2024-07-06 12:39:18,1,United States,2024-06-29 04:39:18,andrew.ellis102@analytics.example.com
,SHP-202406-0000000008,ORD-202406-0000006635,WH-00047,ARE,Europe,Royal Mail,Economy,In Transit,2024-06-29 16:23:50,2024-07-03,,1,Brazil,2024-06-29 16:23:50,michael.johnson061@platform.example.com
,SHP-202406-0000000009,ORD-202406-0000002162,WH-00029,SGP,North America,FedEx,Economy,Delivered,2024-06-22 05:22:12,2024-06-29,2024-06-26 10:22:12,1,Australia,2024-06-22 05:22:12,stephanie.miller092@analytics.example.com
,SHP-202406-0000000010,ORD-202406-0000003671,WH-00152,IND,Asia,USPS,Economy,Delivered,2024-06-04 05:33:39,2024-06-07,2024-06-10 16:33:39,1,United Kingdom,2024-06-04 05:33:39,jennifer.hudson020@analytics.example.com
,SHP-202406-0000000011,ORD-202406-0000000967,WH-00182,CAN,Asia,FedEx,Express,Delivered,2024-06-30 10:59:06,2024-07-04,2024-07-11 10:59:06,2,United Kingdom,2024-06-30 10:59:06,michelle.sims041@analytics.example.com
,SHP-202406-0000000012,ORD-202406-0000001980,WH-00171,GBR,South America,FedEx,Pickup,Delivered,2024-06-18 04:05:29,2024-06-26,2024-07-02 11:05:29,2,Japan,2024-06-18 04:05:29,lisa.kim091@platform.example.com
,SHP-202406-0000000013,ORD-202406-0000002553,WH-00198,ESP,North America,FedEx,Same Day,Delivered,2024-06-23 18:15:03,2024-06-30,2024-07-05 00:15:03,1,India,2024-06-23 18:15:03,adam.henson113@dataops.example.com
,SHP-202406-0000000014,ORD-202406-0000005022,WH-00123,FRA,Europe,Australia Post,Express,Delayed,2024-06-25 23:49:09,2024-07-02,,1,Italy,2024-06-25 23:49:09,sandra.hunter036@platform.example.com
,SHP-202406-0000000015,ORD-202406-0000001740,WH-00006,ESP,Oceania,Australia Post,Standard,Delivered,2024-06-11 02:41:29,2024-06-13,2024-06-18 05:41:29,1,Spain,2024-06-11 02:41:29,micheal.hall064@dataops.example.com
,SHP-202406-0000000016,ORD-202406-0000004345,WH-00238,CAN,South America,Australia Post,Standard,In Transit,2024-06-16 00:18:48,2024-06-19,,1,Netherlands,2024-06-16 00:18:48,nicholas.wilson027@analytics.example.com
,SHP-202406-0000000017,ORD-202406-0000005318,WH-00044,NLD,North America,Australia Post,Economy,Delivered,2024-06-06 20:56:38,2024-06-14,2024-06-18 08:56:38,1,Canada,2024-06-06 20:56:38,joann.clark089@commerce.example.com
,SHP-202406-0000000018,ORD-202406-0000002866,WH-00236,AUS,North America,DPD,Same Day,Delivered,2024-06-26 05:07:41,2024-07-06,2024-06-30 08:07:41,1,United Kingdom,2024-06-26 05:07:41,micheal.hall064@dataops.example.com
,SHP-202406-0000000019,ORD-202406-0000001048,WH-00050,NLD,Europe,DHL,Express,In Transit,2024-06-24 05:44:13,2024-06-30,,1,Brazil,2024-06-24 05:44:13,jennifer.yu037@dataops.example.com
,SHP-202406-0000000020,ORD-202406-0000004061,WH-00210,GBR,Europe,Royal Mail,Economy,Delivered,2024-06-27 09:18:35,2024-07-03,2024-07-01 13:18:35,1,Netherlands,2024-06-27 09:18:35,andrea.cummings039@platform.example.com
,SHP-202406-0000000021,ORD-202406-0000004618,WH-00154,SGP,Asia,FedEx,Standard,Delivered,2024-06-16 21:49:32,2024-06-19,2024-06-19 23:49:32,2,United States,2024-06-16 21:49:32,jonathan.jimenez057@platform.example.com
,SHP-202406-0000000022,ORD-202406-0000001328,WH-00063,JPN,Asia,DHL,Pickup,Delivered,2024-06-08 13:14:30,2024-06-10,2024-06-12 22:14:30,2,Spain,2024-06-08 13:14:30,lance.williams029@platform.example.com
,SHP-202406-0000000023,ORD-202406-0000001358,WH-00077,CAN,Oceania,Royal Mail,Economy,Delivered,2024-06-23 22:30:23,2024-06-26,2024-07-08 08:30:23,1,Singapore,2024-06-23 22:30:23,sandra.hunter036@platform.example.com
,SHP-202406-0000000024,ORD-202406-0000006047,WH-00088,ARE,Asia,Australia Post,Express,Delivered,2024-06-27 18:48:49,2024-07-01,2024-07-02 19:48:49,1,Brazil,2024-06-27 18:48:49,tiffany.freeman101@analytics.example.com
,SHP-202406-0000000025,ORD-202406-0000001344,WH-00082,ESP,Europe,FedEx,Pickup,Delivered,2024-06-07 05:37:11,2024-06-13,2024-06-11 17:37:11,1,Australia,2024-06-07 05:37:11,ashley.marks069@commerce.example.com
,SHP-202406-0000000026,ORD-202406-0000003421,WH-00018,SGP,Oceania,USPS,Economy,Shipped,2024-06-20 01:01:41,2024-06-23,,2,United States,2024-06-20 01:01:41,joseph.johnson049@dataops.example.com
,SHP-202406-0000000027,ORD-202406-0000002848,WH-00137,DEU,Asia,Australia Post,Same Day,Delivered,2024-06-25 09:10:11,2024-07-03,2024-07-05 14:10:11,1,Netherlands,2024-06-25 09:10:11,michelle.bender024@analytics.example.com
,SHP-202406-0000000028,ORD-202406-0000002697,WH-00158,ESP,North America,DHL,Express,Delivered,2024-06-29 11:16:21,2024-07-04,2024-07-08 20:16:21,1,United Kingdom,2024-06-29 11:16:21,andrew.ellis102@analytics.example.com
,SHP-202406-0000000029,ORD-202406-0000004814,WH-00086,FRA,North America,FedEx,Standard,Delivered,2024-06-28 02:33:03,2024-07-08,2024-07-07 03:33:03,1,Spain,2024-06-28 02:33:03,rachel.hall062@platform.example.com
,SHP-202406-0000000030,ORD-202406-0000005223,WH-00088,JPN,Asia,USPS,Same Day,Delivered,2024-06-21 19:31:35,2024-06-26,2024-06-27 05:31:35,1,Spain,2024-06-21 19:31:35,mary.jordan048@analytics.example.com
,SHP-202406-0000000031,ORD-202406-0000002721,WH-00215,ESP,Europe,USPS,Same Day,Delivered,2024-06-12 17:03:27,2024-06-21,2024-06-17 01:03:27,1,Germany,2024-06-12 17:03:27,brandi.carter038@dataops.example.com
,SHP-202406-0000000032,ORD-202406-0000003791,WH-00074,GBR,Europe,Australia Post,Pickup,Delivered,2024-06-16 15:02:34,2024-06-23,2024-06-29 20:02:34,2,Japan,2024-06-16 15:02:34,mary.jordan048@analytics.example.com
,SHP-202406-0000000033,ORD-202406-0000005045,WH-00039,JPN,North America,UPS,Pickup,Delivered,2024-06-13 05:15:15,2024-06-21,2024-06-19 16:15:15,1,Singapore,2024-06-13 05:15:15,troy.boone097@platform.example.com
,SHP-202406-0000000034,ORD-202406-0000000486,WH-00115,AUS,Asia,FedEx,Same Day,Delivered,2024-06-16 06:41:10,2024-06-25,2024-06-20 11:41:10,1,Singapore,2024-06-16 06:41:10,peter.martinez098@platform.example.com
,SHP-202406-0000000035,ORD-202406-0000001022,WH-00057,DEU,North America,DHL,Same Day,Shipped,2024-06-28 23:14:05,2024-07-04,,1,Spain,2024-06-28 23:14:05,tiffany.freeman101@analytics.example.com
,SHP-202406-0000000036,ORD-202406-0000002814,WH-00238,SGP,Europe,Royal Mail,Standard,Delivered,2024-06-08 12:37:13,2024-06-15,2024-06-13 23:37:13,1,Canada,2024-06-08 12:37:13,jeffery.miller012@commerce.example.com
,SHP-202406-0000000037,ORD-202406-0000002004,WH-00003,ESP,Europe,UPS,Standard,Delivered,2024-06-02 06:44:25,2024-06-12,2024-06-11 11:44:25,1,Netherlands,2024-06-02 06:44:25,adam.gordon030@commerce.example.com
